birthYear,date,education,employmentStatus,ethnicity,gender,id,income,maritalStatus,participantRSA,participateReason,race,residenceCountry,session
1985,"Thu, 27 Jul 2017 16:10:38 -0500",Bachelor's Degree,Working full-time,Unknown,Female,1277,"$50,000 through $74,999",Single,1277,"Recommendation of friend, family , acquaintance, or colleague",Black/African origin,United States,PRE
1985,"Thu, 27 Jul 2017 17:06:15 -0500",Bachelor's Degree,Unemployed or laid off,Not Hispanic or Latino,Female,1278,"$5,000 through $11,999","Single, but currently living with someone in a marriage-like relationship",1278,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1985,"Mon, 31 Jul 2017 09:25:54 -0500",M.B.A.,Working full-time,Hispanic or Latino,Male,1300,"$200,000 through $249,999","Single, but currently living with someone in a marriage-like relationship",1300,News story,White/European origin,United States,PRE
1985,"Mon, 13 Jun 2016 11:04:36 -0500",Ph.D.,Student,Not Hispanic or Latino,Male,431,"Less than $5,000",Single,431,"Recommendation of friend, family , acquaintance, or colleague",Other or Unknown,"Iran, Islamic Republic of",PRE
1985,"Wed, 01 Mar 2017 15:42:46 -0500",Bachelor's Degree,Working full-time,Hispanic or Latino,Female,1128,"$35,000 through $49,999",Married,1128,Planned search for information related to this topic,White/European origin,Brazil,PRE
1985,"Thu, 09 Mar 2017 09:52:29 -0500",High School Graduate,Working full-time,Not Hispanic or Latino,Male,1137,"$16,000 through $24,999",Single,1137,Link from education site,White/European origin,Czech Republic,PRE
1985,"Sat, 10 Mar 2018 10:11:43 -0500",Some College,Looking for work,Not Hispanic or Latino,Male,1592,"$35,000 through $49,999",Single,1592,Link from education site,White/European origin,Australia,PRE
1985,"Sat, 17 Mar 2018 15:44:31 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,1605,"$50,000 through $74,999",Married,1605,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1985,"Thu, 10 May 2018 23:56:51 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1676,"$100,000 through $149,999",Married,1676,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1985,"Thu, 02 Nov 2017 19:54:44 -0500",Some College,Looking for work,Not Hispanic or Latino,Female,1405,"$16,000 through $24,999",Single,1405,Other,White/European origin,Australia,PRE
1985,"Fri, 02 Nov 2018 09:27:38 -0500",Ph.D.,Looking for work,Unknown,Male,1908,"$5,000 through $11,999",In a domestic or civil union,1908,"Link from blog, chat, or discussion thread",Other or Unknown,Australia,PRE
1985,"Tue, 08 Nov 2016 11:19:10 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,988,"$25,000 through $34,999",Single,988,Other,White/European origin,United States,PRE
1985,"Mon, 26 Nov 2018 06:31:44 -0500",Associate's Degree,Working full-time,Not Hispanic or Latino,Female,1928,"$35,000 through $49,999",Single,1928,Link from education site,White/European origin,United States,PRE
1985,"Wed, 19 Oct 2016 08:59:51 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,862,"$100,000 through $149,999",Married,862,News story,White/European origin,United States,PRE
1985,"Thu, 20 Oct 2016 08:15:02 -0500",Some College,Other,Not Hispanic or Latino,Female,896,"Less than $5,000",Single,896,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1985,"Wed, 26 Oct 2016 15:02:06 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,952,"$75,000 through $99,999","Single, but currently living with someone in a marriage-like relationship",952,Link from education site,American Indian/Alaska Native,United States,PRE
1985,"Mon, 03 Sep 2018 11:20:52 -0500",High School Graduate,Working full-time,Not Hispanic or Latino,Male,1803,"$100,000 through $149,999",Married,1803,Just surfing the web,White/European origin,United States,PRE
1985,"Thu, 08 Sep 2016 18:13:26 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,621,"$50,000 through $74,999",Married,621,Planned search for information related to this topic,White/European origin,United States,PRE
1985,"Sat, 17 Sep 2016 11:44:07 -0500",Ph.D.,Working part-time,,Female,711,Prefer not to answer,Married,711,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1985,"Sat, 17 Sep 2016 22:29:13 -0500",Master's Degree,Working full-time,Hispanic or Latino,Female,722,"Less than $5,000",Single,722,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1985,"Tue, 20 Sep 2016 14:35:01 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,725,"$16,000 through $24,999",Single,725,News story,White/European origin,Czech Republic,PRE
1985,"Thu, 22 Sep 2016 08:18:40 -0500",Associate's Degree,Working full-time,Not Hispanic or Latino,Female,770,"$35,000 through $49,999",Single,770,Link from education site,White/European origin,United States,PRE
1986,"Sat, 08 Apr 2017 10:01:08 -0500",Associate's Degree,Working full-time,Not Hispanic or Latino,Female,1172,"$25,000 through $34,999",Single,1172,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1986,"Sat, 15 Apr 2017 23:56:57 -0500",High School Graduate,Unemployed or laid off,Not Hispanic or Latino,Male,1182,Don't know,"Single, but currently engaged to be married",1182,News story,Black/African origin,India,PRE
1986,"Fri, 12 Aug 2016 01:34:48 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,541,"$25,000 through $34,999","Single, but currently living with someone in a marriage-like relationship",541,Planned search for information related to this topic,White/European origin,United States,PRE
1986,"Sat, 13 Aug 2016 13:17:07 -0500",Master's Degree,Working full-time,Hispanic or Latino,Female,545,"$35,000 through $49,999",Single,545,Link from education site,Other or Unknown,United States,PRE
1986,"Sun, 14 Aug 2016 19:35:00 -0500",J.D.,Working full-time,Not Hispanic or Latino,Female,547,"$35,000 through $49,999",Single,547,"Link from blog, chat, or discussion thread",Black/African origin,United States,PRE
1986,"Wed, 24 Aug 2016 01:03:11 -0500",Some Graduate School,Student,Hispanic or Latino,Female,563,"$35,000 through $49,999","Single, but casually dating",563,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1986,"Wed, 24 Aug 2016 18:35:59 -0500",Bachelor's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,587,"$50,000 through $74,999",Married,587,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1986,"Wed, 29 Aug 2018 21:45:19 -0500",Associate's Degree,Working part-time,Prefer not to answer,Prefer not to answer,1780,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",1780,Other,Prefer not to answer,United States,PRE
1986,"Fri, 31 Aug 2018 04:25:20 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1794,"$100,000 through $149,999",Married,1794,News story,White/European origin,Ukraine,PRE
1986,"Tue, 06 Dec 2016 20:57:14 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Male,1044,"$25,000 through $34,999",Single,1044,Other,White/European origin,United States,PRE
1986,"Sat, 10 Dec 2016 14:08:45 -0500",Bachelor's Degree,Prefer not to answer,Not Hispanic or Latino,Male,1046,Prefer not to answer,Single,1046,Other,White/European origin,United States,PRE
1986,"Fri, 30 Dec 2016 13:10:34 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1060,"$200,000 through $249,999",Married,1060,Link from education site,White/European origin,United States,PRE
1986,"Tue, 06 Feb 2018 01:00:30 -0500",Some Graduate School,Working full-time,Not Hispanic or Latino,Male,1523,"$100,000 through $149,999",Married,1523,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1986,"Tue, 06 Feb 2018 09:40:29 -0500",Bachelor's Degree,Working full-time,Hispanic or Latino,Male,1525,"$50,000 through $74,999",Separated,1525,Link from education site,White/European origin,United States,PRE
1986,"Tue, 07 Feb 2017 18:21:36 -0500",Other Advanced Degree,Working full-time,Not Hispanic or Latino,Female,1084,"$50,000 through $74,999","Single, but casually dating",1084,Just surfing the web,White/European origin,United States,PRE
1986,"Fri, 12 Jan 2018 16:34:24 -0500",J.D.,Working full-time,Not Hispanic or Latino,Female,1480,"$35,000 through $49,999","Single, but casually dating",1480,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1986,"Tue, 23 Jan 2018 13:04:57 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Prefer not to answer,1485,"$75,000 through $99,999","Single, but currently living with someone in a marriage-like relationship",1485,Link from education site,White/European origin,United States,PRE
1986,"Thu, 07 Jul 2016 08:15:09 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,501,"$25,000 through $34,999","Single, but casually dating",501,Craigslist Ad,White/European origin,United States,PRE
1986,"Sat, 09 Jul 2016 05:00:43 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,504,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",504,Link from education site,White/European origin,United States,PRE
1986,"Mon, 24 Jul 2017 01:36:47 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Female,1266,"$75,000 through $99,999",Married,1266,Recommendation of teacher,White/European origin,Australia,PRE
1986,"Wed, 26 Jul 2017 16:47:20 -0500",Some Graduate School,Working full-time,Not Hispanic or Latino,Female,1273,"$100,000 through $149,999",Married,1273,Other,White/European origin,United States,PRE
1986,"Sun, 29 Jul 2018 04:32:24 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1737,"$35,000 through $49,999",Single,1737,News story,White/European origin,United Kingdom,PRE
1986,"Thu, 08 Jun 2017 17:41:22 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1229,"$50,000 through $74,999","Single, but currently engaged to be married",1229,Other,White/European origin,United States,PRE
1986,"Wed, 29 Jun 2016 17:30:23 -0500",Some College,Other,Hispanic or Latino,Female,485,"Less than $5,000",Single,485,Craigslist Ad,Other or Unknown,United States,PRE
1986,"Sun, 11 Mar 2018 08:35:20 -0500",Ph.D.,Working full-time,Hispanic or Latino,Female,1575,"$35,000 through $49,999",Single,1575,Just surfing the web,White/European origin,Belgium,PRE
1986,"Tue, 14 Mar 2017 15:58:56 -0500",Master's Degree,Student,Not Hispanic or Latino,Female,1142,"$12,000 through $15,999",Divorced,1142,Link from education site,White/European origin,Germany,PRE
1986,"Sun, 18 Mar 2018 09:17:01 -0500",Some Graduate School,Working full-time,Not Hispanic or Latino,Male,1606,"$75,000 through $99,999",Single,1606,Just surfing the web,White/European origin,France,PRE
1986,"Tue, 28 Nov 2017 19:58:24 -0500",High School Graduate,Prefer not to answer,Not Hispanic or Latino,Male,1433,Prefer not to answer,Married,1433,"Recommendation of friend, family , acquaintance, or colleague",Prefer not to answer,United States,PRE
1986,"Fri, 05 Oct 2018 00:17:04 -0500",Some College,Student,Hispanic or Latino,Female,1865,"$5,000 through $11,999",Divorced,1865,Link from education site,White/European origin,United States,PRE
1986,"Mon, 09 Oct 2017 07:24:31 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1387,Don't know,Single,1387,Link from education site,White/European origin,United Kingdom,PRE
1986,"Fri, 12 Oct 2018 22:35:12 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,1876,"$50,000 through $74,999","Single, but casually dating",1876,Planned search for this topic in particular,White/European origin,United States,PRE
1986,"Wed, 18 Oct 2017 10:12:10 -0500",Some College,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,1392,Don't know,Married,1392,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1986,"Wed, 19 Oct 2016 20:18:48 -0500",High School Graduate,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,887,"$50,000 through $74,999",Married,887,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1986,"Thu, 08 Sep 2016 17:10:13 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,620,"$50,000 through $74,999",Married,620,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1986,"Fri, 16 Sep 2016 13:37:17 -0500",Elementary School,Unemployed or laid off,Unknown,Male,681,Don't know,Married,681,Planned search for this topic in particular,South Asian,France,PRE
1986,"Fri, 16 Sep 2016 18:26:57 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,691,"$75,000 through $99,999",Single,691,News story,White/European origin,United States,PRE
1986,"Sun, 16 Sep 2018 08:42:30 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Male,1830,"$5,000 through $11,999",Married,1830,Recommendation of teacher,South Asian,India,PRE
1986,"Mon, 19 Sep 2016 22:16:49 -0500",Bachelor's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,760,"$75,000 through $99,999",Married,760,Facebook post,White/European origin,United States,PRE
1986,"Sun, 25 Sep 2016 09:42:01 -0500",High School Graduate,Working full-time,Not Hispanic or Latino,Female,789,"$50,000 through $74,999","Single, but casually dating",789,News story,Other or Unknown,Israel,PRE
1987,"Mon, 10 Apr 2017 16:22:53 -0500",Some Graduate School,Looking for work,Not Hispanic or Latino,Female,1174,"$50,000 through $74,999",Married,1174,News story,White/European origin,United States,PRE
1987,"Wed, 02 Aug 2017 12:17:59 -0500",Some College,Other,Unknown,Female,1311,"$12,000 through $15,999","Single, but casually dating",1311,Facebook post,White/European origin,Netherlands,PRE
1987,"Fri, 03 Aug 2018 12:53:13 -0500",Master's Degree,Student,Not Hispanic or Latino,Female,1745,"$75,000 through $99,999","Single, but currently living with someone in a marriage-like relationship",1745,Just surfing the web,White/European origin,Canada,PRE
1987,"Sun, 06 Aug 2017 20:01:18 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1319,"$50,000 through $74,999",Single,1319,Facebook post,White/European origin,United States,PRE
1987,"Wed, 24 Aug 2016 00:54:22 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,562,"$35,000 through $49,999",Divorced,562,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1987,"Wed, 24 Aug 2016 08:02:47 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,566,"$75,000 through $99,999",Married,566,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1987,"Thu, 24 Aug 2017 15:57:42 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1329,"$35,000 through $49,999","Single, but currently living with someone in a marriage-like relationship",1329,Link from education site,White/European origin,United States,PRE
1987,"Tue, 30 Aug 2016 00:50:08 -0500",Other Advanced Degree,Student,Not Hispanic or Latino,Female,604,"$50,000 through $74,999",Married,604,Facebook post,Black/African origin,United States,PRE
1987,"Thu, 30 Aug 2018 12:17:26 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1784,"$75,000 through $99,999",Single,1784,Link from education site,White/European origin,United States,PRE
1987,"Thu, 21 Dec 2017 21:08:38 -0500",M.D.,Working full-time,Not Hispanic or Latino,Male,1457,"$50,000 through $74,999",Single,1457,Link from education site,White/European origin,United States,PRE
1987,"Sat, 30 Dec 2017 11:48:28 -0500",Master's Degree,Working full-time,Hispanic or Latino,Male,1465,"$50,000 through $74,999",Single,1465,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,Germany,PRE
1987,"Sat, 11 Feb 2017 14:57:21 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1106,"$25,000 through $34,999","Single, but casually dating",1106,Facebook post,White/European origin,United States,PRE
1987,"Fri, 28 Jul 2017 03:16:48 -0500",High School Graduate,Working full-time,Hispanic or Latino,Male,1284,"$12,000 through $15,999",Single,1284,Facebook post,White/European origin,United States,PRE
1987,"Sun, 30 Jul 2017 08:47:23 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1295,"$75,000 through $99,999",Married,1295,News story,White/European origin,United States,PRE
1987,"Sun, 30 Jul 2017 19:59:49 -0500",Bachelor's Degree,Working full-time,Prefer not to answer,Male,1298,"$100,000 through $149,999",Married,1298,News story,White/European origin,United States,PRE
1987,"Tue, 28 Jun 2016 08:15:03 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,475,"$50,000 through $74,999","Single, but currently engaged to be married",475,Link from education site,Black/African origin,United States,PRE
1987,"Tue, 07 Mar 2017 10:00:03 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,1134,"$75,000 through $99,999",Married,1134,Advertisement from other sources,White/European origin,United States,PRE
1987,"Fri, 04 May 2018 17:21:55 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1666,"$75,000 through $99,999",Single,1666,Recommendation of employer,White/European origin,United States,PRE
1987,"Mon, 15 May 2017 09:52:19 -0500",M.B.A.,Working full-time,Not Hispanic or Latino,Female,1199,"$35,000 through $49,999","Single, but casually dating",1199,Planned search for information related to this topic,White/European origin,United States,PRE
1987,"Wed, 24 May 2017 15:22:41 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,1206,"$35,000 through $49,999","Single, but currently living with someone in a marriage-like relationship",1206,Recommendation of teacher,White/European origin,United States,PRE
1987,"Wed, 24 May 2017 19:52:41 -0500",Some Graduate School,Student,Not Hispanic or Latino,Female,1207,"$25,000 through $34,999","Single, but currently engaged to be married",1207,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1987,"Fri, 26 May 2017 13:12:29 -0500",Bachelor's Degree,Looking for work,Not Hispanic or Latino,Transgender,1209,"$16,000 through $24,999",Divorced,1209,Advertisement from other sources,Other or Unknown,United States,PRE
1987,"Fri, 26 May 2017 15:06:08 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1210,"$50,000 through $74,999",Married,1210,Other,White/European origin,United States,PRE
1987,"Tue, 30 May 2017 13:26:33 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,1214,"$50,000 through $74,999",Married,1214,Advertisement from other sources,White/European origin,United States,PRE
1987,"Mon, 12 Nov 2018 13:20:25 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,1914,"$50,000 through $74,999",Married,1914,Planned search for this topic in particular,East Asian,United States,PRE
1987,"Mon, 12 Nov 2018 14:03:39 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1915,"$25,000 through $34,999",Single,1915,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1987,"Wed, 23 Nov 2016 23:22:50 -0500",Bachelor's Degree,Working full-time,Unknown,Female,1027,"$75,000 through $99,999",Single,1027,Facebook post,East Asian,Malaysia,PRE
1987,"Wed, 03 Oct 2018 21:23:39 -0500",Master's Degree,Student,Not Hispanic or Latino,Female,1862,"$75,000 through $99,999","Single, but currently living with someone in a marriage-like relationship",1862,Planned search for information related to this topic,White/European origin,New Zealand,PRE
1987,"Thu, 05 Oct 2017 18:32:49 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1384,"$150,000 through $199,999",Married,1384,News story,White/European origin,United States,PRE
1987,"Tue, 25 Oct 2016 20:53:46 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,944,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",944,News story,White/European origin,United States,PRE
1987,"Thu, 08 Sep 2016 12:39:45 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,619,"$75,000 through $99,999","Single, but currently living with someone in a marriage-like relationship",619,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1987,"Tue, 12 Sep 2017 07:42:47 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1346,"$35,000 through $49,999","Single, but currently engaged to be married",1346,"Link from blog, chat, or discussion thread",South Asian,United Kingdom,PRE
1987,"Fri, 15 Sep 2017 10:20:15 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1349,"$75,000 through $99,999",Married,1349,"Recommendation of health professional (e.g., therapist or general practitioner)",East Asian,United States,PRE
1987,"Fri, 16 Sep 2016 08:36:23 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,649,"$75,000 through $99,999","Single, but currently living with someone in a marriage-like relationship",649,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1987,"Mon, 19 Sep 2016 11:08:26 -0500",Master's Degree,Unemployed or laid off,Not Hispanic or Latino,Female,748,,Married,748,Planned search for information related to this topic,Other or Unknown,United States,PRE
1987,"Tue, 20 Sep 2016 14:19:33 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,764,"$35,000 through $49,999","Single, but currently living with someone in a marriage-like relationship",764,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1987,"Sun, 25 Sep 2016 10:52:03 -0500",Other Advanced Degree,Looking for work,Not Hispanic or Latino,Female,790,"$100,000 through $149,999",Married,790,Link from education site,White/European origin,United States,PRE
1987,"Thu, 28 Sep 2017 17:09:20 -0500",Bachelor's Degree,Student,Not Hispanic or Latino,Female,1373,"$5,000 through $11,999","Single, but casually dating",1373,News story,White/European origin,Romania,PRE
1988,"Wed, 11 Apr 2018 09:27:30 -0500",Some Graduate School,Working full-time,Hispanic or Latino,Male,1636,"$5,000 through $11,999",Married,1636,Just surfing the web,White/European origin,Uruguay,PRE
1988,"Mon, 01 Aug 2016 15:11:10 -0500",Some College,Student,Not Hispanic or Latino,Female,528,"$16,000 through $24,999","Single, but casually dating",528,Link from education site,White/European origin,United States,PRE
1988,"Tue, 01 Aug 2017 15:10:27 -0500",Some Graduate School,Student,Not Hispanic or Latino,Female,1304,"$25,000 through $34,999","Single, but casually dating",1304,News story,Black/African origin,United States,PRE
1988,"Thu, 10 Aug 2017 09:23:46 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1323,"$100,000 through $149,999",Married,1323,Planned search for this topic in particular,White/European origin,United States,PRE
1988,"Tue, 23 Aug 2016 22:59:49 -0500",Master's Degree,Student,Not Hispanic or Latino,Female,561,"$16,000 through $24,999","Single, but currently engaged to be married",561,"Recommendation of health professional (e.g., therapist or general practitioner)",White/European origin,United States,PRE
1988,"Wed, 24 Aug 2016 09:55:42 -0500",Other Advanced Degree,Working full-time,Not Hispanic or Latino,Male,572,"$25,000 through $34,999",Single,572,"Recommendation of friend, family , acquaintance, or colleague",Other or Unknown,United States,PRE
1988,"Thu, 30 Aug 2018 12:18:49 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1785,"$100,000 through $149,999",Married,1785,Planned search for this topic in particular,White/European origin,United States,PRE
1988,"Wed, 21 Dec 2016 02:43:52 -0500",Associate's Degree,Looking for work,Not Hispanic or Latino,Female,1054,"$16,000 through $24,999",Other,1054,Link from education site,White/European origin,Canada,PRE
1988,"Fri, 09 Feb 2018 12:13:52 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1536,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",1536,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1988,"Wed, 21 Feb 2018 06:32:31 -0500",Some Graduate School,Looking for work,Not Hispanic or Latino,Female,1551,"Less than $5,000",Single,1551,Other,White/European origin,Romania,PRE
1988,"Thu, 04 Jan 2018 05:52:09 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1472,"$50,000 through $74,999",Separated,1472,Link from education site,White/European origin,United Kingdom,PRE
1988,"Mon, 08 Jan 2018 21:36:25 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1477,"$100,000 through $149,999","Single, but currently living with someone in a marriage-like relationship",1477,News story,White/European origin,United States,PRE
1988,"Wed, 17 Jan 2018 11:22:47 -0500",Other Advanced Degree,Working full-time,Not Hispanic or Latino,Male,1489,"$35,000 through $49,999","Single, but casually dating",1489,"Link from blog, chat, or discussion thread",White/European origin,France,PRE
1988,"Sat, 20 Jan 2018 14:09:19 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1492,"$100,000 through $149,999",Married,1492,Planned search for information related to this topic,White/European origin,United States,PRE
1988,"Sun, 03 Jul 2016 14:14:20 -0500",Some College,Working part-time,,Female,493,,Single,493,Craigslist Ad,White/European origin,United States,PRE
1988,"Thu, 27 Jul 2017 09:56:34 -0500",Associate's Degree,Working full-time,Not Hispanic or Latino,Female,1274,"$50,000 through $74,999","Single, but currently engaged to be married",1274,Facebook post,White/European origin,United States,PRE
1988,"Sun, 30 Jul 2017 13:53:57 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1296,"$100,000 through $149,999","Single, but casually dating",1296,Facebook post,White/European origin,United States,PRE
1988,"Thu, 01 Jun 2017 19:38:17 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1216,"$50,000 through $74,999",Married,1216,Other,White/European origin,United States,PRE
1988,"Thu, 07 Jun 2018 20:45:14 -0500",Bachelor's Degree,Working part-time,Hispanic or Latino,Male,1698,"$5,000 through $11,999","Single, but currently engaged to be married",1698,"Link from blog, chat, or discussion thread",White/European origin,Brazil,PRE
1988,"Fri, 15 Jun 2018 05:16:16 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1703,"$35,000 through $49,999","Single, but currently engaged to be married",1703,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United Kingdom,PRE
1988,"Fri, 17 Jun 2016 14:00:16 -0500",Some Graduate School,Student,Not Hispanic or Latino,Male,449,"Less than $5,000",Single,449,Just surfing the web,White/European origin,United States,PRE
1988,"Sun, 19 Jun 2016 19:12:40 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,454,"$25,000 through $34,999",Single,454,Facebook post,White/European origin,United States,PRE
1988,"Mon, 25 Jun 2018 06:39:52 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1711,"$25,000 through $34,999",Single,1711,Recommendation of employer,South Asian,Philippines,PRE
1988,"Thu, 29 Jun 2017 20:04:13 -0500",Some College,Working full-time,Not Hispanic or Latino,Female,1242,"$35,000 through $49,999",Single,1242,Just surfing the web,White/European origin,United States,PRE
1988,"Sat, 03 Mar 2018 16:21:34 -0500",Bachelor's Degree,Unemployed or laid off,Unknown,Male,1577,Prefer not to answer,Single,1577,Just surfing the web,Prefer not to answer,United States,PRE
1988,"Tue, 13 Mar 2018 08:10:00 -0500",Bachelor's Degree,Working part-time,Hispanic or Latino,Female,1598,"$5,000 through $11,999","Single, but currently living with someone in a marriage-like relationship",1598,Just surfing the web,White/European origin,Argentina,PRE
1988,"Mon, 26 Mar 2018 21:51:45 -0500",High School Graduate,Working full-time,Not Hispanic or Latino,Female,1616,"$35,000 through $49,999","Single, but currently living with someone in a marriage-like relationship",1616,Link from education site,White/European origin,Canada,PRE
1988,"Tue, 09 May 2017 00:20:38 -0500",Some Graduate School,Working part-time,Not Hispanic or Latino,Female,1194,"$50,000 through $74,999","Single, but casually dating",1194,Link from education site,South Asian,United States,PRE
1988,"Wed, 24 May 2017 02:54:38 -0500",High School Graduate,Unemployed or laid off,Unknown,Male,1205,"Less than $5,000",Single,1205,Just surfing the web,White/European origin,United States,PRE
1988,"Thu, 09 Nov 2017 14:43:09 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1415,"$25,000 through $34,999",Single,1415,Link from education site,White/European origin,United States,PRE
1988,"Tue, 13 Nov 2018 02:44:13 -0500",Master's Degree,Student,Not Hispanic or Latino,Male,1916,Prefer not to answer,Single,1916,Other,East Asian,Hong Kong,PRE
1988,"Sat, 25 Nov 2017 22:35:37 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1425,"$75,000 through $99,999",Married,1425,Just surfing the web,White/European origin,United States,PRE
1988,"Fri, 14 Oct 2016 07:38:33 -0500",Bachelor's Degree,Working full-time,Hispanic or Latino,Male,840,"Less than $5,000","Single, but casually dating",840,Advertisement from other sources,White/European origin,Romania,PRE
1988,"Thu, 20 Oct 2016 07:04:34 -0500",Master's Degree,Working full-time,Unknown,Female,893,"$35,000 through $49,999","Single, but currently living with someone in a marriage-like relationship",893,News story,White/European origin,United States,PRE
